listing_title,property_type,city,beds,accommodates,competitor_avg_price,nightly_price
"Cabo Center,Ocean view Great price!",house,Cabo San Lucas,1.0,2.0,55.0,55.0
nortehaus - Nordic and Japanese inspired escape,house,Kawartha Lakes,2.0,4.0,402.0,402.0
Architect's Loft in Cholula,loft,Cholula,1.0,2.0,32.0,32.0
Jungle house 3km to Jaco beach & town center,cabin,Jacó,2.0,4.0,76.0,76.0
"Malibu Charming GH, Mins Drive to Beach & Hike",tiny_home,Malibu,1.0,2.0,292.0,332.0
Studio near Disney,apartment,Orlando,1.0,2.0,88.0,80.0
Charming Treehouse with Pool,treehouse,Río Grande,1.0,2.0,217.0,217.0
Oceanfront loft,loft,Mazatlán,2.0,4.0,100.0,100.0
Majestic Ocean Front Terrace II,apartment,Cancún,2.0,4.0,80.0,57.0
New! Bamboo Bosque Mio (Stars & Campfires),house,Real Montecassino,3.0,6.0,113.0,113.0
"Cabin for 2 w/ Hot Tub, Muskoka Romantic Getaway",cottage,Huntsville,1.0,2.0,335.0,335.0
Old Havana+Cuban Style Place+Roof Top+WiFi,apartment,La Habana,1.0,2.0,57.0,57.0
"Heated Pool, Putt Putt Golf",house,Vero Beach,5.0,10.0,468.0,468.0
Guest Suite in Historic Architecture Home,room,Cuauhtémoc,2.0,4.0,55.0,55.0
$87 a night Molokai Escape Condo,condo,Kaunakakai,1.0,2.0,101.0,101.0
Treehouse on a Coffee Farm with Ocean View,treehouse,Atenas,1.0,2.0,74.0,74.0
Design Casa Patchouli with private pool and lounge,apartment,Tulum,1.0,2.0,169.0,283.0
Pequeño espacio Romántico piscina y muelle privado,unique_stay,Jauca,1.0,2.0,220.0,220.0
Haven in the Woods- tiny home WiFi & solar power,tiny_home,Peachland,1.0,2.0,76.0,76.0
Mimosa Y - Beautiful Unique Container Home w' Pool,unique_stay,Puerto Viejo de Talamanca,1.0,2.0,90.0,90.0
Mimosa Y - Beautiful Unique Container Home w' Pool,unique_stay,Puerto Viejo de Talamanca,1.0,2.0,90.0,90.0
COMFORTABLE BEACH DEPA OVERLOOKING THE SEA,apartment,Acapulco,1.0,2.0,42.0,42.0
Waterfront Glamping Muddy Creek PA,unique_stay,Airville,1.0,2.0,102.0,102.0
2 Pools on property | Walk to the beach | Rosalina Ocean Park | Luxury Suite 3,hotel,San Juan,2.0,4.0,164.0,164.0
Love nest when singing of the Sea!,room,Acapulco,9.0,18.0,42.0,41.0
Casa La Paz vistas al mar @ Pinilla Highlands,house,Pinilla,1.0,2.0,146.0,146.0
Lovely farm cabin experience,farm_stay,Siler City,2.0,4.0,114.0,114.0
Pine River Bunkies: Heron’s Landing Off Grid Cabin,tiny_home,Horning's Mills,2.0,4.0,120.0,120.0
The Alpine Airstream at Mt. Rainier with Hot Tub,unique_stay,Ashford,1.0,2.0,286.0,286.0
"Surf, Sand & Sunsets - Goldenrod CdM BEACH STUDIO",bungalow,Newport Beach,3.0,6.0,229.0,229.0
Refugio LOS PAPIROS,unique_stay,Guarne,3.0,6.0,18.0,18.0
Beach crab.,room,Acapulco,3.0,6.0,42.0,43.0
Fire & Water | Rejuvenating Stay on the Riverbend,cabin,Fennville,1.0,2.0,743.0,743.0
Black rose -Right house-,house,Tamanique,1.0,2.0,243.0,243.0
"Casa El Paraiso, Las Galeras (room #5)",unique_stay,Las Galeras,3.0,6.0,286.0,286.0
Holistic House Diamond,room,Monteverde,3.0,6.0,160.0,160.0
"Malibu Serene Guest House, Mins to Beach & Hike",tiny_home,Malibu,3.0,6.0,292.0,252.0
Free Transportation / Premium Beach Loft 1711th,apartment,Cancún,3.0,6.0,80.0,138.0
Cozy cabin on 5 acres !,cabin,Gilmour,2.0,4.0,86.0,86.0
OceanfrontStudio-Slps4-Pool-Pickleball-HBOMax-Dis+,condo,Ocean City,2.0,4.0,291.0,291.0
Amazing Ocean Front II,apartment,Cancún,1.0,2.0,80.0,45.0
LUXE & STYLISH/3BR/LAS OLAS CONDO/12TH FLR/ROSARITO,condo,Rosarito,4.0,8.0,172.0,173.0
"Lovely Private Room-Manhattan, 70s-Upper East Side",room,New York,1.0,2.0,178.0,103.0
1 BD PRIVATE HOUSEBOAT/ COTTAGE TARPON,cottage,Islamorada,1.0,2.0,229.0,229.0
“What a wonderful world” - Modern Farmhouse,apartment,Gordonville,1.0,2.0,165.0,165.0
Glass Roof House #2 at Glass 20.87,cottage,Quintana Roo,2.0,4.0,221.0,221.0
"Modern Cabin On Pond, AC & Porch",cabin,Georgetown,1.0,2.0,231.0,231.0
Romantic Ocean Penthouse w/ panoramic marina views,apartment,Marina del Rey,1.0,2.0,247.0,247.0
Posada Sarita,hotel,Tepoztlán,3.0,6.0,50.0,50.0
"Beach Bungalow on the Sand, Steps to the Ocean",cottage,Oceanside,2.0,4.0,483.0,483.0
Historic Venice Apt 1/2 blocks to beach+parking,apartment,Los Angeles,2.0,4.0,203.5,185.0
Amazing Modern Home with Pool and Hot Tub!,house,Cape Coral,2.0,4.0,173.0,167.0
"Malibu, Carbon Beach - Suite Three",condo,Malibu,3.0,6.0,773.5,649.0
Cozy Farm Stay Getaway,farm_stay,Saint Marys,2.0,4.0,99.0,99.0
UpStream (Waterfront Cabin With Wood Stove & WiFi),tiny_home,Mill Village,1.0,2.0,97.0,97.0
M6. Alojamiento ideal para explorar Tepoztlán,other,Tepoztlán,1.0,2.0,40.0,40.0
Scenic Solitude-Amazing Mountain views on 5 acres,cabin,Mineral Bluff,2.0,4.0,302.0,302.0
"Lovely Private Room-Manhattan, 70s-Upper East Side",room,New York,1.0,2.0,178.0,103.0
1 BD PRIVATE HOUSEBOAT/ COTTAGE TARPON,cottage,Islamorada,1.0,2.0,229.0,229.0
“What a wonderful world” - Modern Farmhouse,apartment,Gordonville,1.0,2.0,165.0,165.0
Glass Roof House #2 at Glass 20.87,cottage,Quintana Roo,1.0,2.0,221.0,221.0
“Playa Luna”- Breathtaking Ocean and City Views,condo,Luquillo,1.0,2.0,129.5,138.0
"Peace, Beauty & Ocean View, Malibu",room,Malibu,1.0,2.0,189.0,189.0
Lount Treetop Rentals - Unit 2,treehouse,Sundridge,1.0,2.0,135.0,135.0
Romantic Ocean Penthouse w/ panoramic marina views,apartment,Marina del Rey,2.0,4.0,247.0,247.0
Posada Sarita,hotel,Tepoztlán,3.0,6.0,50.0,50.0
Amazing Modern Home with Pool and Hot Tub!,house,Cape Coral,1.0,2.0,173.0,167.0
Cozy Farm Stay Getaway,farm_stay,Saint Marys,2.0,4.0,99.0,99.0
Beach Front Condo In Casa Del Mar,apartment,Galveston,2.0,4.0,163.5,205.0
Laguna Beach Studio Oceanviews 49,apartment,Laguna Beach,2.0,4.0,266.5,148.0
Charming Beach Condo in Bavaro Top Location,apartment,Punta Cana,1.0,2.0,47.0,57.0
400+ Airbnb Visits: Incredible Mountain Cabin,cabin,Woodford,2.0,4.0,137.0,137.0
the legendary wildwood cabins ~ CABIN 2,cabin,Bowen Island,2.0,4.0,149.5,126.0
Oceanfront Laguna Beach Amazing Views 28,hotel,Laguna Beach,2.0,4.0,281.5,276.0
Lake Sports Home & Super water sports!,other,Hopatcong,3.0,6.0,154.0,154.0
Waterfront Sea Cottage,guesthouse,Naples,1.0,2.0,82.0,82.0
Cedar Springs Cabin - A Cozy Hideaway in the Woods,cabin,Reaboro,2.0,4.0,346.0,346.0
Beachfront at its finest @ San Jose del Cabo! 🤩🏄🏼‍♂️🏖,apartment,San José del Cabo,1.0,2.0,78.0,78.0
Tiny Beach front house,cabin,Puerto Viejo de Talamanca,2.0,4.0,89.0,89.0
Coyote's Den at The Howling Woods,tiny_home,Tremont,2.0,4.0,123.0,123.0
"Near Ocean, BBQ, Dog OK, Cute Manzanita Beach",house,Manzanita,2.0,4.0,147.0,147.0
Stunning house on lake Ontario,house,Hamilton,2.0,4.0,210.0,210.0
"Oceanfront Lookout Point w/two Kayaks,Beach & Dock",tiny_home,Key Largo,1.0,2.0,254.0,254.0
Saint Tropez Boutique Hotel,hotel,Willemstad,1.0,2.0,125.0,125.0
the legendary wildwood cabins ~ CABIN 4,cabin,Bowen Island,1.0,2.0,149.5,173.0
1-Private room/bbq/patio. 2 full bed 1 couch bed.,room,Key West,2.0,4.0,258.0,258.0
Beautiful corner unit condo right on the beach!,condo,East End,2.0,4.0,298.0,298.0
House Boat Sunset Bay Marina Stuart Fl,unique_stay,Stuart,2.0,4.0,150.0,127.0
Surf Shack Guiones - perfect beach location,apartment,Guanacaste Province,2.0,4.0,130.0,130.0
Glamping Cabin at Balderson Blueberries,unique_stay,Balderson,1.0,2.0,80.0,80.0
Bamboo Cottage in Aptos Mountain Retreat & Spa,tiny_home,Aptos,1.0,2.0,130.0,130.0
The Ohana,guesthouse,Naalehu,1.0,2.0,99.0,99.0
23FL Skyline King Studio w/Ocean & City Views.,condo,Honolulu,2.0,4.0,221.0,221.0
Room 2 Queen beds- Buffet Breakfast-Steps to beach,hotel,Miami Beach,2.0,4.0,116.0,116.0
"Luxury Condo in Hotel, amenities Downtown/Brickell",condo,Miami,2.0,4.0,211.5,219.0
The Ohana,guesthouse,Naalehu,1.0,2.0,99.0,99.0
Enchanting Tiny Home 1 KM from downtown Sackville,tiny_home,Sackville,1.0,2.0,117.0,117.0
Isla Verde Beach Studio {105},apartment,Carolina,2.0,4.0,97.0,97.0
Beachfront Condo Now Available! Sleeps 4 + Parking,condo,Atlantic City,2.0,4.0,151.5,133.0
CASA BADAWI in 400m Tropical Garden. Optical Fiber,bungalow,Puerto Viejo de Talamanca,2.0,4.0,72.0,72.0
Beachside Apartment with Pool,apartment,Santa Teresa Beach,2.0,4.0,117.0,117.0
Oceanfront 16th Floor Brand New Beachfront Flat,condo,Miami Beach,1.0,2.0,271.75,302.0
"House1 private swming pool, BBQ ranch, wifi 200mb",chalet,Matapalo,4.0,8.0,43.0,43.0
"LOVELY ROOM, WALK TO BEACH, GORGEOUS DECK",room,Panama City Beach,2.0,4.0,146.0,146.0
Beachfront Escape Unit #1 at Beachcomber Cottages,apartment,Yachats,2.0,4.0,212.0,212.0
CDM-Beach living @ Condado with pool and parking!,condo,San Juan,2.0,4.0,144.0,144.0
AHHH-MAZING VIEWS! Beach Front Apt.,condo,Luquillo,2.0,4.0,129.5,121.0
"Tropical Island Escape w/ Deck, Walk to Avalon Bay",house,Avalon,1.0,2.0,336.0,336.0
"The Thimbleberry MicroCabin near lake, hot tub use",cabin,Sorrento,1.0,2.0,108.0,108.0
Private room/bathroom in modern house with Pool,room,Miami,1.0,2.0,114.5,128.0
"Modern 1/1, Half a Block from The Ocean",apartment,Miami Beach,2.0,4.0,146.5,140.0
Satori Suite (The Bamboo House),room,Kailua-Kona,2.0,4.0,199.0,199.0
Cancun Suites (Standard Room),apartment,Cancún,3.0,6.0,80.0,81.0
Tropicana Suite-Grand Manor Luxury Mansion Loft,room,Galveston,1.0,2.0,98.0,92.0
Disney/Universal Home Away from Home!,room,Kissimmee,1.0,2.0,102.5,162.0
Pink Galaxy | Private Observatory · Hot Tub · Pool,villa,Morongo Valley,1.0,2.0,283.0,283.0
Camera argento in tipica casa coloniale,room,La Habana,3.0,6.0,38.0,42.0
"GARDEN ROOM, private bathroom, separate entrance",room,Kihei,2.0,4.0,184.0,184.0
"Tree House - Beach Area, KS bed, 3 PPL",treehouse,Zona Hotelera,1.0,2.0,157.0,157.0
It Hotel & Residences - Studio Rental in PDC,apartment,Playa del Carmen,1.0,2.0,67.33333333333333,75.0
"Cozy & Neat hotel room 2pax ocean view WiFi,Pool",hotel,Isla Mujeres,1.0,2.0,115.0,115.0
Meteora Stay & Coffehouse Tulum - Deluxe Queen,hotel,Tulum,1.0,2.0,59.0,59.0
Movie Theater + Kid Friendly | Book the Dome!,house,Oceanside,1.0,2.0,200.0,200.0
My Adirondack Home - Very Scenic,room,Wilmington,1.0,2.0,107.0,107.0
New 16th Floor Beachfront 180º Oceanview Apartment,condo,Miami Beach,1.0,2.0,271.75,302.0
Camilo's Luxury Shared Townhouse,room,Cancún,1.0,2.0,66.0,81.0
"Surf, family & friends! Tropical Room in downtown",room,Cancún,1.0,2.0,66.0,51.0
1208 Beach property part ocean & pool view,apartment,Cancún,1.0,2.0,80.0,79.0
Amazing panoramic tree house Norway,treehouse,Sandane,1.0,2.0,285.0,285.0
Beachfront Cottage on the Lake,house,Jurków,4.0,8.0,140.0,140.0
Off-Grid vineyard and olive orchard home.,farm_stay,Şarköy,3.0,6.0,144.0,144.0
Mirror House Iceland,cabin,Hvanneyri,1.0,2.0,735.0,735.0
"R.I.P. by ŘÍP - 
Rest In Pod by ŘÍP",other,Krabčice,1.0,2.0,78.0,78.0
LOVE Attic,condo,Fiumicino,2.0,4.0,209.0,209.0
Natural show in Cabaña Alcazaba,cabin,Güejar Sierra,4.0,8.0,111.0,111.0
MU_Moradas no Ulla 6. Cabañas de Compostela.,cabin,Teo,1.0,2.0,112.0,112.0
Unik Hobbit Cabin,other,Hol,2.0,4.0,221.0,221.0
Simple guesthouse on a farm. Double bed and sofa bed. Free Wi-Fi and parking. WC and living room/kitchenette in separate building,farm_stay,Nyköping S,2.0,4.0,73.0,73.0
"Boat in Orlik, you want it!",unique_stay,Jickovice,4.0,8.0,78.0,78.0
Forest cabin,cabin,Hornedo,1.0,2.0,80.0,80.0
Amonde Village - Casa P * Comfort & Quality,house,Viana do Castelo,3.0,6.0,168.0,168.0
Tower house Gombola,unique_stay,Gombola,3.0,6.0,166.0,166.0
hut in the mid. of nowhere + priv pond+3 ha,cabin,Darżkowo,2.0,4.0,181.0,181.0
The Water Tower at Long Meadow Farm,house,Kenilworth,2.0,4.0,246.0,246.0
Alte Wassermühle Friedrichshausen - Eulenstube,room,Dassel,3.0,6.0,55.0,55.0
Vovady Farm : Roulotte Bohème,farm_stay,Montregard,3.0,6.0,82.0,82.0
Biron aux Puces de Saint Vincent Market,room,Saint-Ouen,2.0,4.0,95.0,95.0
Cabin on the countryside close to the small city.,cabin,Gällstad,5.0,10.0,111.0,111.0
La Barona Chalet,cabin,Trasquera,1.0,2.0,223.0,223.0
"""Lieblingsplatz"" shepherd's hut",unique_stay,Hessisch Lichtenau,2.0,4.0,55.0,55.0
Rectory Farm Hideaway,unique_stay,Oxfordshire,2.0,4.0,178.0,178.0
The Black Shack @ Bancran School,tiny_home,Draperstown,3.0,6.0,169.0,169.0
Apartment Caribe - PlusHolidays,apartment,Calpe,2.0,4.0,80.0,80.0
Anty's Pond: Davy Crockett's Hut,unique_stay,Saint-Nabord,2.0,4.0,93.0,93.0
Biarritz Grande Plage 25m2 with Balcony,apartment,Biarritz,2.0,4.0,176.0,176.0
TRULLO ISABELLA,unique_stay,Ostuni,4.0,8.0,131.5,158.0
Secluded Hand crafted log cabin,farm_stay,Girvan,1.0,2.0,139.0,139.0
Stargazer Cabin - Monmouth Walking Distance Town,cabin,Monmouth,1.0,2.0,240.0,240.0
"Baita Vrei (2)""Titta"" - Hut Lago Maggiore",house,Miazzina,2.0,4.0,61.0,61.0
Tranquil retreat with fantastic countryside views,tiny_home,Poltimore,2.0,4.0,115.0,115.0
Romantic and one-of-a-kind Beachouse,villa,Pollina,4.0,8.0,183.0,183.0
Ilaira Apartments,condo,Χράνοι,1.0,2.0,86.0,86.0
Central 1bedroom apt by the sea,apartment,Rodos,2.0,4.0,61.0,61.0
Cosy Romantic Cabin with Wood Burning Stove.,tiny_home,Midmar,2.0,4.0,107.0,107.0
Historic residence surrounded by olive trees,farm_stay,Agello,2.0,4.0,75.0,75.0
Wonderful Old Cabin on Rare Natural Site,cabin,Adainville,1.0,2.0,147.0,147.0
"Stay in the castle, with family or friends",unique_stay,Vay,4.0,8.0,92.0,92.0
XS Village - Arrifana Suite (private bathroom),room,Aljezur,2.0,4.0,100.0,100.0
The Loft at the Bonnington Farm,unique_stay,Rattray,1.0,2.0,135.0,135.0
KALEİÇİ BACCHUS OTEL DENİZ MANZARALI TATİL 501,hotel,Muratpaşa,1.0,2.0,83.0,83.0
